freq;unit;na_item;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;CP_MEUR;P7;IT,452498.0 ,363078.0 ,433952.0 ,466153.7 ,443051.6 ,423094.6 ,426596.5 ,442016.1 ,441578.0 ,483996.1 ,513236.1 ,509226.6 
A;CP_MEUR;P7;LT,22609.8 ,14403.2 ,18486.9 ,23665.2 ,25931.8 ,27056.9 ,25772.0 ,26057.8 ,26004.3 ,30133.8 ,33387.7 ,35252.1 
A;CP_MEUR;P7;LU,59652.1 ,48773.2 ,56907.2 ,62787.3 ,68558.0 ,73754.5 ,89782.3 ,97449.2 ,97458.9 ,103662.1 ,105419.8 ,109733.3 
A;CP_MEUR;P7;LV,12736.5 ,8363.2 ,9927.8 ,12922.6 ,14757.8 ,14760.3 ,15138.5 ,15228.7 ,15034.1 ,16790.4 ,18128.7 ,18572.3 
A;CP_MEUR;P7;ME,2880.5 ,1948.8 ,1960.6 ,2099.6 ,2166.4 ,2065.5 ,2074.2 ,2213.6 ,2494.0 ,2772.9 ,3111.9 ,3208.7 
A;CP_MEUR;P7;MK,4628.4 ,3679.1 ,4129.3 ,4984.2 ,5069.7 ,5008.8 ,5554.6 ,5893.4 ,6327.1 ,6925.6 ,7825.9 ,8578.4 p
A;CP_MEUR;P7;MT,9329.1 ,9259.8 ,10284.4 ,11018.2 ,11750.5 ,11785.9 ,12061.5 ,14480.4 ,14739.9 ,15588.2 ,15885.7 ,17392.6 
A;CP_MEUR;P7;NL,396514.0 ,341492.0 ,394496.0 ,435537.0 ,455542.0 ,460137.0 ,466572.0 ,518594.0 ,491044.0 ,536163.0 ,573832.0 ,590651.0 p
A;CP_MEUR;P7;NO,91849.5 ,77405.8 ,92238.5 ,101766.4 ,109182.6 ,111529.2 ,111532.0 ,111441.6 ,111647.5 ,115998.8 ,120053.0 ,126813.5 
A;CP_MEUR;P7;PL,157730.1 ,120873.5 ,152302.1 ,169254.2 ,174629.7 ,174820.0 ,189151.1 ,199456.8 ,205670.6 ,235552.5 ,259768.2 ,270575.2 
A;CP_MEUR;P7;PT,73100.2 ,59990.6 ,67738.4 ,68051.8 ,64411.5 ,65653.0 ,69336.3 ,71662.0 ,72849.3 ,81739.1 ,88194.4 ,92310.0 p
A;CP_MEUR;P7;RO,57198.9 ,40630.9 ,48950.5 ,56619.3 ,56825.4 ,58821.4 ,63069.2 ,67596.1 ,72821.4 ,83547.5 ,92585.9 ,98734.4 p
A;CP_MEUR;P7;RS,17940.7 ,12888.6 ,14030.2 ,16230.3 ,16713.7 ,17509.8 ,17788.3 ,18663.0 ,19619.2 ,22386.2 ,25332.3 ,28056.8 
A;CP_MEUR;P7;SE,154292.5 ,119734.9 ,148265.1 ,167284.0 ,173110.3 ,169179.6 ,174073.9 ,182002.2 ,184777.5 ,197770.7 ,204498.7 ,206111.3 
A;CP_MEUR;P7;SI,25948.1 ,20251.1 ,22988.0 ,25581.8 ,25193.4 ,25350.3 ,26117.4 ,26865.5 ,27929.9 ,31892.4 ,34996.2 ,36432.0 
A;CP_MEUR;P7;SK,54149.4 ,43716.1 ,52858.6 ,60040.7 ,62840.9 ,65441.2 ,66114.1 ,70943.3 ,73565.2 ,78571.4 ,84427.4 ,86395.8 
A;CP_MEUR;P7;TR,141923.7 ,108945.9 ,149140.2 ,182154.3 ,194616.8 ,206808.3 ,201924.8 ,206361.2 ,198327.0 ,226040.6 ,206379.4 ,203455.3 
A;CP_MEUR;P7;UK,583371.4 ,486701.7 ,565170.7 ,605760.0 ,659177.2 ,655624.9 ,687561.4 ,759999.4 ,731391.9 ,744586.9 ,776625.1 ,821769.9 
A;CP_MEUR;P7;XK,2107.1 ,2114.2 ,2443.1 ,2792.4 ,2726.6 ,2645.5 ,2851.6 ,2926.3 ,3090.6 ,3369.4 ,3738.1 ,3982.9 
