"","","","","","","","","","","",""
"","Exports, FOB to Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Madagascar, Rep. of","2,443.82","3,315.84","3,457.83","3,820.07","3,980.72","3,174.59","3,124.87","3,713.70","3,589.31","3,761.02"
"","Malawi","1,329.88","1,447.14","1,743.97","1,929.07","1,661.85","1,585.26","1,500.23","1,663.67","1,632.92","1,720.55"
"","Mali","2,396.76","2,670.58","2,704.73","2,950.02","3,222.63","3,133.88","3,691.83","3,490.13","3,557.74","4,311.64"
"","Mauritius","3,986.53","5,481.75","5,279.22","4,732.75","5,481.55","4,625.26","4,260.86","4,702.93","4,972.75","5,288.46"
"","Mozambique, Rep. of","5,710.66","8,203.62","8,909.44","11,891.39","13,162.23","10,399.08","8,028.96","9,351.44","10,851.53","13,104.82"
"","Namibia","5,359.71","6,230.95","6,577.15","8,065.93","8,154.96","7,325.28","6,353.57","5,505.50","5,783.70","5,273.18"
"","Niger","1,237.86","1,214.49","1,241.90","1,416.38","1,667.50","1,328.58","976.84","1,139.59","1,207.74","1,452.27"
"","Nigeria","36,858.01","49,186.12","44,335.44","49,826.42","53,730.63","41,499.65","32,140.91","38,527.94","43,208.85","48,198.82"
"","Rwanda","915.13","1,134.92","1,263.32","1,340.99","1,484.85","1,351.16","1,444.33","1,268.09","1,622.20","1,579.18"
"","São Tomé and Príncipe, Dem. Rep. of","164.89","193.84","158.34","160.29","174.54","147.22","149.83","131.64","133.73","135.79"
"","Senegal","6,087.43","8,257.11","8,903.32","8,666.59","9,044.54","8,498.00","8,563.44","9,747.18","11,269.67","11,584.96"
"","Seychelles","1,130.39","1,404.35","1,044.15","1,057.48","1,019.64","1,088.27","972.25","1,141.37","1,268.43","2,658.86"
"","Sierra Leone","824.81","1,511.08","1,583.06","1,419.78","1,372.73","1,349.69","1,006.93","1,120.42","1,120.78","1,244.79"
"","South Africa","95,963.63","125,461.02","124,484.40","120,313.24","115,066.65","94,162.13","84,130.40","89,471.87","97,287.45","96,652.90"
"","South Sudan, Rep. of","","5.19","93.51","267.74","211.90","504.33","377.99","651.07","606.39","773.14"
"","Tanzania, United Rep. of","8,419.96","11,880.19","12,132.99","15,213.80","16,099.70","12,406.25","11,155.17","11,613.03","13,322.64","13,375.42"
"","Togo","3,521.21","9,781.36","9,603.09","10,113.98","12,830.17","10,793.15","7,646.36","8,975.53","10,833.94","10,567.70"
"","Uganda","2,958.69","3,830.34","3,867.11","3,738.63","3,764.75","3,654.98","3,697.10","4,088.82","4,338.99","4,638.49"
"","Zambia","3,773.53","5,536.25","5,862.65","6,592.59","6,631.53","5,272.13","5,035.18","5,144.16","6,441.03","6,096.43"
"","Zimbabwe","3,533.78","4,374.96","4,443.13","4,250.72","4,117.36","3,870.40","3,438.35","3,574.56","3,883.33","3,173.02"
"","Africa not specified","518.82","5,134.05","1,104.55","497.07","374.73","353.62","453.33","971.40","417.50","347.80"
"","Western Hemisphere","865,446.80","1,056,386.15","1,102,524.32","1,108,634.39","1,102,596.87","969,043.80","892,007.88","976,824.22","1,066,759.04","1,024,412.91"
"","Anguilla","32.99","28.01","31.33","89.14","38.71","32.81","43.62","98.81","152.25","195.17"
"","Antigua and Barbuda","1,891.09","1,925.53","2,052.34","1,658.37","1,376.39","1,459.03","1,005.82","1,112.75","1,218.24","1,157.18"
"","Argentina","53,392.00","68,505.90","62,440.98","69,075.35","58,667.67","54,160.31","51,005.28","62,201.15","60,122.12","45,728.35"
"","Aruba, Kingdom of the Netherlands","1,230.07","3,725.22","3,099.11","3,697.61","4,145.12","2,801.34","1,949.16","2,002.71","1,564.22","1,464.06"
"","Bahamas, The","10,993.22","11,760.30","11,227.90","9,607.49","10,845.83","9,743.73","7,296.17","8,975.12","9,800.52","10,667.79"
"","Barbados","1,758.16","2,212.56","1,377.56","1,832.10","1,688.70","1,567.52","1,330.49","1,587.86","1,490.74","1,312.88"
"","Belize","702.08","977.69","1,342.99","1,204.33","1,067.46","976.24","955.44","1,023.32","996.64","1,063.67"
"","Bermuda","3,991.66","3,737.28","2,849.67","2,855.02","3,416.86","3,878.75","3,050.79","2,107.49","1,627.55","1,243.68"
"","Bolivia","5,103.49","7,007.59","7,088.82","8,173.93","8,770.46","7,401.46","7,540.06","8,126.57","7,299.09","6,962.19"
"","Brazil","187,498.99","232,767.40","235,593.62","240,076.17","229,438.32","167,008.56","143,251.61","166,376.06","185,380.12","185,895.81"
"","Chile","51,777.50","66,716.55","71,872.49","70,169.30","65,458.63","59,329.51","55,919.33","61,889.91","71,591.39","68,001.43"
"","Colombia","37,673.06","49,050.06","52,233.03","54,150.07","57,877.61","48,001.58","41,759.11","44,142.54","48,910.48","49,927.58"
"","Costa Rica","11,724.22","13,849.34","14,620.61","14,909.65","14,475.31","13,153.03","13,376.73","13,662.31","14,223.75","13,364.71"
"","Curaçao, Kingdom of the Netherlands","6.31","214.55","112.84","195.74","604.07","612.15","654.85","1,108.48","1,579.75","1,042.51"
"","Dominica","490.71","433.61","433.39","409.85","459.43","459.74","471.72","597.07","742.70","599.13"
"","Dominican Rep.","13,780.10","15,473.78","14,801.61","14,666.14","15,663.40","14,901.66","15,958.14","16,188.65","18,479.97","19,113.53"
"","Ecuador","17,833.18","20,538.01","21,774.66","22,944.21","23,553.64","18,389.83","14,440.21","18,259.83","21,203.43","20,081.73"
"","El Salvador","6,705.82","8,699.07","9,293.36","8,588.02","8,473.06","8,410.96","7,995.19","8,337.78","9,598.74","9,703.38"
"","Falkland Islands (Malvinas)","109.37","189.21","132.99","131.95","195.39","253.35","84.82","116.75","130.28","95.56"
"","Greenland","877.53","1,000.57","857.34","864.95","857.66","656.58","734.41","748.68","811.21","1,027.68"
"","Grenada","214.01","227.58","226.70","263.04","279.12","254.25","204.09","230.10","249.49","350.17"
"","Guatemala","11,390.22","14,695.67","14,514.14","14,612.48","14,927.05","15,105.44","14,578.50","16,177.24","16,802.02","17,182.90"
"","Guyana","1,234.79","1,533.74","1,351.38","1,568.81","1,502.53","1,191.92","1,115.67","1,106.15","1,335.51","1,902.20"
"","Haiti","3,699.53","4,059.26","3,831.71","4,111.48","4,160.87","4,037.83","3,687.96","4,446.05","4,590.35","3,796.17"
"","Honduras","8,479.97","10,992.49","11,274.93","10,528.39","11,008.01","10,518.53","9,861.02","10,458.75","11,514.02","11,619.42"
"","Jamaica","4,633.82","5,496.76","5,981.93","5,894.05","5,339.26","4,138.47","4,095.42","4,965.34","5,653.90","5,334.06"
"","Mexico","256,059.23","309,417.38","331,170.83","343,822.55","368,902.22","365,654.25","359,835.95","386,080.44","422,914.18","412,799.12"
"","Montserrat","4.56","7.20","5.77","18.47","17.06","9.77","30.47","17.21","31.08","22.66"
"","Netherlands Antilles","8,193.19","4,705.93","4,467.13","3,456.51","9,509.94","5,167.61","3,990.62","3,021.88","3,197.96","861.13"
"","Nicaragua","4,112.40","5,156.18","5,761.27","5,672.85","5,761.25","6,025.86","6,098.02","6,168.87","5,654.02","5,413.95"
"","Panama","56,435.07","64,719.00","70,238.97","64,679.81","53,823.12","40,532.48","34,919.88","38,651.58","43,717.02","42,793.94"
"","Paraguay","8,616.51","10,259.60","9,564.62","10,183.64","10,571.10","8,672.47","8,534.52","10,646.68","10,900.46","9,357.78"
"","Peru","27,855.98","35,505.09","38,899.75","39,384.61","37,981.12","35,260.90","32,707.78","36,097.45","38,750.96","38,598.93"
"","Sint Maarten, Kingdom of the Netherlands","","19.54","27.46","170.50","155.16","151.84","159.83","532.58","908.22","901.19"
"","St. Kitts and Nevis","343.73","927.32","312.31","512.02","512.93","395.63","364.48","394.03","370.73","363.50"
"","St. Lucia","3,508.38","3,611.15","2,017.32","1,081.29","2,377.34","1,583.48","1,085.39","1,686.40","2,047.38","2,063.09"
"","St. Vincent and the Grenadines","560.61","574.42","448.28","532.79","548.79","427.77","342.30","359.30","363.62","330.13"
"","Suriname","1,425.91","1,631.71","1,885.36","2,125.05","1,789.07","1,688.56","990.54","1,149.33","1,296.10","1,470.69"
"","Trinidad and Tobago","5,100.22","7,294.48","6,598.67","7,013.37","6,417.21","6,349.89","5,882.79","5,603.74","5,771.69","6,995.56"
"","Uruguay","9,668.90","12,089.11","13,710.79","14,493.12","14,156.84","14,282.18","12,631.98","13,497.40","14,670.73","10,931.19"
"","Venezuela, Rep. Bolivariana de","35,382.98","45,436.01","59,183.64","47,154.85","39,268.41","28,435.37","15,262.87","10,400.33","11,237.42","5,903.99"
"","Western Hemisphere not specified","10,955.23","9,214.27","7,814.70","6,055.33","6,514.72","5,961.15","6,804.89","6,469.55","7,859.04","6,773.11"
"","Emerging and Developing Europe","883,147.30","1,129,989.15","1,150,766.52","1,181,300.78","1,147,623.00","908,195.13","907,495.95","1,061,457.44","1,164,889.54","1,156,103.89"
"","Middle East and Central Asia","850,787.50","958,139.11","1,070,566.82","1,113,409.47","1,142,314.30","989,925.13","920,638.00","965,619.27","989,900.82","1,000,187.22"
"","Afghanistan, Islamic Rep. of","8,951.07","12,057.29","9,602.94","8,456.84","8,490.61","8,023.61","7,638.24","7,785.84","7,819.63","7,343.13"
"","Algeria","38,980.21","44,488.67","50,262.04","53,218.13","56,459.08","47,661.38","48,171.28","46,921.15","49,821.88","43,091.83"
"","Armenia, Rep. of","2,239.49","2,509.29","3,051.34","3,277.11","3,399.71","2,638.90","2,457.75","3,112.56","3,754.51","4,078.77"
"","Azerbaijan, Rep. of","9,600.15","12,030.34","14,440.68","16,243.96","15,869.61","11,496.78","7,766.76","8,132.09","10,258.76","12,504.78"
"","Bahrain, Kingdom of","16,019.95","20,728.23","23,618.04","22,524.90","22,083.55","16,245.87","13,990.78","15,725.69","19,751.30","18,255.55"
"","Djibouti","3,109.11","4,283.71","4,995.67","4,705.03","4,771.51","4,831.97","5,060.71","5,344.01","5,106.28","6,342.57"
