"","","","","","","","","","","",""
"","Imports, CIF from Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Benin","1,857.22","2,841.30","2,287.46","2,250.50","2,733.96","1,479.69","1,402.35","1,666.88","1,700.73","1,951.94"
"","Botswana","2,403.12","5,582.61","5,473.03","6,718.31","6,312.21","4,623.03","7,251.33","7,336.09","5,969.23","4,969.09"
"","Burkina Faso","548.54","760.52","2,115.77","2,023.61","2,124.17","1,845.12","2,030.12","2,708.59","3,009.15","3,317.90"
"","Burundi","82.63","140.54","260.39","314.23","285.25","266.41","186.27","159.26","225.40","248.30"
"","Cabo Verde","60.16","75.63","88.66","127.69","125.21","510.42","267.68","103.11","124.46","115.73"
"","Cameroon","4,729.01","5,592.97","5,625.14","5,674.15","5,888.14","4,969.81","4,135.08","4,481.89","5,165.35","5,945.40"
"","Central African Rep.","126.76","152.52","174.76","128.68","79.21","180.25","133.65","133.70","118.00","88.48"
"","Chad","2,920.14","3,909.79","3,297.12","3,175.98","3,156.22","2,358.86","1,667.49","1,296.98","1,749.90","1,338.74"
"","Comoros, Union of the","36.76","61.65","123.23","55.34","59.82","49.57","78.22","84.07","102.45","64.17"
"","Congo, Dem. Rep. of the","5,619.31","7,242.96","7,155.74","7,600.34","8,099.64","6,416.81","5,940.99","7,973.55","11,272.97","8,032.93"
"","Congo, Rep. of","11,262.16","12,375.59","11,867.55","11,654.39","11,182.95","7,023.00","5,709.78","7,733.42","11,577.73","10,861.78"
"","Côte d'Ivoire","9,862.42","10,441.75","10,668.34","11,145.53","11,493.78","10,850.28","11,273.52","12,263.50","12,440.91","12,382.49"
"","Equatorial Guinea, Rep. of","9,651.03","13,480.78","15,653.32","14,632.50","13,226.12","6,959.73","4,633.34","5,182.77","6,353.86","4,980.89"
"","Eritrea, The State of","15.79","371.54","612.52","340.00","601.47","461.32","384.09","412.82","604.85","497.04"
"","Eswatini, Kingdom of","1,944.34","1,812.58","2,167.31","2,287.75","2,350.20","2,114.67","2,017.53","2,517.06","2,648.35","2,783.15"
"","Ethiopia, The Federal Dem. Rep. of","1,705.98","2,222.66","2,381.30","2,370.22","2,891.36","2,991.47","2,587.65","2,860.19","2,754.21","3,149.07"
"","Gabon","7,305.73","11,748.58","11,737.61","11,786.18","10,817.18","6,888.23","5,805.45","6,558.37","6,974.48","7,280.01"
"","Gambia, The","70.13","150.89","167.78","139.48","115.19","133.36","172.27","215.14","116.90","169.71"
"","Ghana","4,631.19","9,875.57","11,332.82","13,018.64","13,157.46","11,629.18","12,310.24","12,831.34","15,498.44","16,087.64"
"","Guinea","2,226.02","2,048.53","2,093.75","2,572.13","2,773.35","1,958.46","3,472.60","6,190.62","6,339.72","6,823.94"
"","Guinea-Bissau","157.18","369.44","155.97","257.32","247.20","311.16","373.95","363.71","167.45","250.01"
"","Kenya","4,840.56","5,951.74","6,267.29","6,361.27","6,994.05","6,303.09","5,787.00","5,900.40","6,380.73","6,865.50"
"","Lesotho, Kingdom of","812.51","1,063.70","927.51","917.51","1,013.97","963.38","934.53","1,130.81","1,296.11","1,141.14"
